index,predicted_sales
272371,0.0
558468,0.0
76950,5948.456395577455
77556,7897.6185753074005
456344,6041.462528493957
436466,4328.470229714129
646251,3729.61368248273
650464,7574.524628084563
162710,0.0
100327,8269.765628690731
374540,8390.365523482931
399143,4209.364081610113
44740,0.0
674144,7719.691329966765
81595,6058.358066620091
416724,4164.573274381268
632687,12779.36032621518
351899,5704.263219280212
515940,4405.9001692861975
567411,7067.66194174872
274598,0.0
417880,15534.935067720788
453710,5622.916717465946
597622,0.0
223346,7674.86042169293
630018,0.0
355860,6904.518241071926
360080,2704.230164761021
129544,16059.226048409188
422545,0.0
174199,6619.975634391364
118613,0.0
60310,9860.83322360971
328458,6373.856903187765
200661,5045.381037448961
179581,7624.1834561110045
587612,0.0
320169,7260.542554323997
37194,6358.1809081394285
685427,4709.530662557655
125422,11252.50286892195
24499,2962.521584947174
281806,7451.952127862838
540511,3676.44165093067
28689,2732.778327048108
165066,9239.732202542875
555963,4801.047083968022
610614,8527.69080913453
64013,8849.243596804823
30639,9232.820983939107
418604,8688.769768041666
468037,6570.814000993307
271589,5077.267962739322
77924,3398.174198993716
247149,6248.298077259667
576822,4464.4077623433395
108538,5965.2868048705395
645670,5856.2385712970845
601663,3178.3319122037856
502588,6720.327104436568
66732,4461.151072395672
627113,7875.652004332287
691184,7258.574468263217
467913,10399.394006690167
304890,6224.310114182079
274018,5868.655710370863
644430,6773.687705091066
669009,6153.157934034078
518722,6723.142964029054
505976,5471.280868429684
291572,5645.879331225719
39071,3932.2401417667293
319154,5471.555113663056
166603,3149.869692680673
428262,6862.618398140922
20314,4644.2391749078715
603091,3649.6512903164144
500421,7491.495740363355
388016,0.0
268257,7377.566026882372
216326,5901.237733922415
40755,3010.617128139567
8654,6009.454106481295
37301,6540.988894964178
485623,9108.877696313091
214073,9919.778864010214
406145,2526.462717375122
397642,3557.387665813401
273960,9884.681371855695
12104,2059.2731262609295
361202,4145.444397403619
79347,7201.154794421479
462803,6089.902420617327
141713,6877.447693365726
703618,3554.38422175541
308360,8199.9143977447
317995,7858.718763833344
364408,6660.257787565112
27886,9439.294158290537
706814,0.0
514516,2914.8446299994735
577373,13209.377838593382
190561,7407.389192580043
92512,11685.632223337614
565163,8432.879566441114
500246,6058.054478481081
223708,3412.6773905164014
555732,7287.005550388293
654150,4169.284456659128
558350,3387.960697505423
52167,6058.187847483988
296981,4570.039203315832
332143,6721.031115115614
426553,5227.969326123784
481847,5913.329119681303
100496,9271.62346270646
706377,6522.908581315593
599169,6013.387225767351
55294,6048.04067562138
218737,5280.477627546062
266706,6024.02048027452
441953,7233.980760247076
127184,6829.1466016761815
312223,10265.039770577327
583377,8742.538034102865
523743,9466.481991585522
476775,0.0
620142,7272.9558945944955
460092,3705.4964021966
169260,5017.933932314991
177084,6225.5825375253135
645354,8122.171916258377
645737,10766.162816757893
272578,7457.958441754242
600374,13497.134814090943
566038,6706.874152706824
381862,0.0
535335,9856.353841426177
499411,8294.274654409792
625219,4777.828288345025
61823,0.0
653471,4932.1239522016795
441789,7536.049470193648
155435,8385.769258858532
226567,8307.94897265531
107330,5051.602019356682
149417,4464.459347754226
191690,6181.008202777417
146544,0.0
383603,7555.364788541594
452941,5200.779407586897
629103,7733.756470685665
30258,8466.115078549486
219501,5320.091749946038
528607,10530.408845106893
397525,5136.715695105803
314281,5047.128925654562
489418,8098.139539320116
182776,0.0
335928,13011.750365015865
198358,9604.680671440503
400219,0.0
427476,8301.031393704663
31892,6839.808156041715
109374,6059.052645332567
385320,4937.997522283425
517169,4805.371501330283
369733,8773.868540495212
71343,6284.065610754761
42363,7898.263743137011
612665,2531.514813248833
428563,8913.886036105545
610249,8586.149194072785
669222,6669.1789016645025
484348,9790.387206187968
194089,11291.537062254642
328888,8638.256064029447
485880,5418.665950254823
699868,5368.259742573218
265929,4730.068965812356
154648,5576.252647939726
376328,6815.2247830147535
530275,14090.941381062594
441109,4898.832680612067
26050,0.0
247671,0.0
615467,5488.6458925495335
267972,5362.999044121435
22318,3993.1925061010747
430083,4552.127143656426
510014,12781.715867133085
343803,3826.3287020390317
85161,3753.710875930005
505852,7341.089502693237
266131,4551.7893227540935
397091,13875.132328936455
112013,0.0
492019,0.0
73240,8538.472986815268
203948,7433.144487798866
603210,0.0
82813,0.0
634511,6516.508734655611
28171,7827.8275610432065
198571,9292.229710452382
70073,0.0
551321,12582.62505336342
509286,4445.923217236584
24413,6368.6712488413
367168,18510.246038322035
103724,6443.048206842424
704886,7691.856282663287
568270,5444.8559246588575
627934,13021.444866819482
520091,6430.040372570946
505933,3627.3737958357196
67603,4510.206246159319
96570,5953.287133470579
696883,0.0
216455,3108.252994739089
472114,13566.976000806877
437836,5519.063687816985
467331,18337.56870404596
423483,6101.015368078363
533535,9607.509383405444
82465,4996.230652198867
245480,7437.23571962467
155723,3479.532957428331
167485,6969.328064535765
574217,4205.210030103198
307718,4603.087948530693
250666,3786.2168211712574
233447,13181.043427258113
9408,15597.476900812611
532318,7830.707944601898
213221,11341.948738021089
149118,5269.565727301252
643815,4296.198705799364
205464,6335.590052738885
172737,6031.302335377537
358803,6976.1559424769075
432064,15237.22515994261
243176,3430.270573193278
165487,7409.702271375238
206630,16637.774985665164
380228,7336.010229570795
278339,5914.133993922327
125602,5857.201936177894
707930,5684.077728175422
647013,6263.562634146698
404917,0.0
607690,11751.171888225324
63394,0.0
334403,7983.762707396792
440195,0.0
87636,4904.6956295787395
189540,4458.788619467462
18218,3417.045068475609
396021,10010.120875812137
442052,6778.476209717657
397202,5319.857258178455
251121,11805.45089879748
463013,0.0
655331,4983.303872191607
327407,3923.586567357585
355157,0.0
654124,7500.774645945829
602473,10046.213613612374
414480,7724.881339796409
574764,11097.666565117046
136740,10752.483926317904
240843,5328.271860060933
130323,0.0
688030,6579.973420163732
43133,10971.815589186077
172856,4204.883129463331
446048,0.0
36534,3923.458462796335
612801,5576.895917862476
256750,5596.626012060581
623446,5408.484484926117
63314,9750.019660058799
238452,1627.093704344724
43919,14417.094097784078
258378,5612.644050299051
59774,7117.060111894655
31637,5430.994337638161
673741,3447.2777985808516
659942,3235.816641561961
349639,5874.111096777286
394865,6994.645965735558
255648,4823.855583957454
379128,5829.128732358167
540897,6941.722954996545
662220,4737.351507142761
160268,4458.394774707848
